2025-08-25T10:52:10.807479 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AmazonEC2Launch.msi' -OutFile 'C:\temp\AmazonEC2Launch.msi'"' on localhost
2025-08-25T10:52:10.806926 INFO   [exec-worker-1] [Bolt::Executor] Running command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AmazonEC2Launch.msi' -OutFile 'C:\temp\AmazonEC2Launch.msi'"' on ["localhost"]
2025-08-25T10:52:10.807768 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AmazonEC2Launch.msi' -OutFile 'C:\temp\AmazonEC2Launch.msi'"' on localhost
2025-08-25T10:52:20.005874 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"powershell.exe -NoProfile -ExecutionPolicy Bypass -Command \"Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AmazonEC2Launch.msi' -OutFile 'C:\\temp\\AmazonEC2Launch.msi'\"","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:52:20.006997 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'powershell.exe -NoProfile -ExecutionPolicy Bypass -Command "Invoke-WebRequest -UseBasicParsing -Uri 'https://dl.cloudsmith.io/em69KjexQOI0d8rA/epic-it/build_services/raw/versions/latest/AmazonEC2Launch.msi' -OutFile 'C:\temp\AmazonEC2Launch.msi'"' with 0 failures in 9.2 sec
2025-08-25T10:52:20.007508 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'msiexec.exe /i "C:\temp\AWSCLIV2.msi" /qn /norestart' on localhost
2025-08-25T10:52:20.007143 INFO   [exec-worker-1] [Bolt::Executor] Running command 'msiexec.exe /i "C:\temp\AWSCLIV2.msi" /qn /norestart' on ["localhost"]
2025-08-25T10:52:20.007769 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'msiexec.exe /i "C:\temp\AWSCLIV2.msi" /qn /norestart' on localhost
2025-08-25T10:52:35.506906 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"msiexec.exe /i \"C:\\temp\\AWSCLIV2.msi\" /qn /norestart","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:52:35.507942 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'msiexec.exe /i "C:\temp\AWSCLIV2.msi" /qn /norestart' with 0 failures in 15.5 sec
2025-08-25T10:52:35.508417 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'msiexec.exe /i "C:\temp\AmazonEC2Launch.msi" /qn /norestart' on localhost
2025-08-25T10:52:35.508067 INFO   [exec-worker-1] [Bolt::Executor] Running command 'msiexec.exe /i "C:\temp\AmazonEC2Launch.msi" /qn /norestart' on ["localhost"]
2025-08-25T10:52:35.508660 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'msiexec.exe /i "C:\temp\AmazonEC2Launch.msi" /qn /norestart' on localhost
2025-08-25T10:52:41.968142 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"msiexec.exe /i \"C:\\temp\\AmazonEC2Launch.msi\" /qn /norestart","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:52:41.969614 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'msiexec.exe /i "C:\temp\AmazonEC2Launch.msi" /qn /norestart' with 0 failures in 6.46 sec
2025-08-25T10:52:41.970487 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: file upload from C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/agent-config.yml to C:\ProgramData\Amazon\EC2Launch\config\agent-config.yml on localhost
2025-08-25T10:52:41.970151 INFO   [exec-worker-1] [Bolt::Executor] Uploading file C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/agent-config.yml to C:\ProgramData\Amazon\EC2Launch\config\agent-config.yml on ["localhost"]
2025-08-25T10:52:41.970770 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Uploading: 'C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/agent-config.yml' to C:\ProgramData\Amazon\EC2Launch\config\agent-config.yml on localhost
2025-08-25T10:52:42.693521 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"upload","object":"C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/agent-config.yml","status":"success","value":{"_output":"Uploaded 'C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/agent-config.yml' to 'localhost:C:\\ProgramData\\Amazon\\EC2Launch\\config\\agent-config.yml'"}}
2025-08-25T10:52:42.694794 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: file upload from C:/Users/derek/Epic/PackerGoldenImage/bolt/windows_config/files/agent-config.yml to C:\ProgramData\Amazon\EC2Launch\config\agent-config.yml with 0 failures in 0.72 sec
2025-08-25T10:52:42.695130 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: plan windows_config::aws in 58.07 sec
2025-08-25T10:52:42.695442 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: plan windows_config in 105.42 sec
